node_name	description	node_type
publication type	Ontology term for publication type may be drawn from Dublin Core types (https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/), FRBR-aligned Bibliographic Ontology (https://sparontologies.github.io/fabio/current/fabio.html), the MESH publication types (https://www.nlm.nih.gov/mesh/pubtypes.html), the Confederation of Open Access Repositories (COAR) Controlled Vocabulary for Resource Type Genres (http://vocabularies.coar-repositories.org/documentation/resource_types/), Wikidata (https://www.wikidata.org/wiki/Wikidata:Publication_types), or equivalent publication type ontology. When a given publication type ontology term is used within a given knowledge graph, then the CURIE identified term must be documented in the graph as a concept node of biolink:category biolink:OntologyClass.	
rdfs:label	A human-readable name for an attribute or entity.	entity|label type
label	A human-readable name for an attribute or entity.	entity|label type
display name	A human-readable name for an attribute or entity.	entity|label type
title	A human-readable name for an attribute or entity.	entity|label type
name	A human-readable name for an attribute or entity.	entity|label type
stoichiometry	the relationship between the relative quantities of substances taking part in a reaction or forming a compound, typically a ratio of whole integers.	integer
reaction direction	the direction of a reaction as constrained by the direction enum (ie: left_to_right, neutral, etc.)	ReactionDirectionEnum
reaction balanced		boolean
reaction side	the side of a reaction being modeled (ie: left or right)	ReactionSideEnum
symbol	Symbol for a particular thing	named thing
alias	Alternate human-readable names for a thing	named thing|label type
synonym	Alternate human-readable names for a thing	named thing|label type
exact synonym		
broad synonym		
narrow synonym		
related synonym		
topic	Connects a node to a vocabulary term or ontology class that describes some aspect of the entity. In general specific characterization is preferred. See https://github.com/biolink/biolink-model/issues/238	ontology class
descriptors	Connects a node to a vocabulary term or ontology class that describes some aspect of the entity. In general specific characterization is preferred. See https://github.com/biolink/biolink-model/issues/238	ontology class
has topic	Connects a node to a vocabulary term or ontology class that describes some aspect of the entity. In general specific characterization is preferred. See https://github.com/biolink/biolink-model/issues/238	ontology class
dbxref	A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge, or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.	named thing|uriorcurie
Dbxref	A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge, or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.	named thing|uriorcurie
DbXref	A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge, or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.	named thing|uriorcurie
record_url	A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge, or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.	named thing|uriorcurie
source_record_urls	A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge, or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.	named thing|uriorcurie
xref	A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge, or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.	named thing|uriorcurie
semmed agreement count	The number of times this concept has been asserted in the SemMedDB literature database.	integer
support graphs	A list of knowledge graphs that support the existence of this node.	
resource id	The CURIE for an Information Resource that served as a source of knowledge expressed in an Edge, or a source of data used to generate this knowledge.	retrieval source|uriorcurie
resource role	The role played by the InformationResource in serving as a source for an Edge. Note that a given Edge should have one and only one 'primary' source, and may have any number of 'aggregator' or 'supporting data' sources.	retrieval source|ResourceRoleEnum
retrieval source ids	A list of retrieval sources that served as a source of knowledge expressed in an Edge, or a source of data used to generate this knowledge.	retrieval source
full name	a long-form human readable name for a thing	named thing|label type
upstream resource ids	An upstream InformationResource from which the resource being described directly retrieved a record of the knowledge expressed in the Edge, or data used to generate this knowledge. This is an array because there are cases where a merged Edge holds knowledge that was retrieved from multiple sources. e.g. an Edge provided by the ARAGORN ARA can expressing knowledge it retrieved from both the automat-mychem-info and molepro KPs, which both provided it with records of this single fact.	retrieval source|uriorcurie
dct:description	a human-readable description of an entity	narrative text
definition	a human-readable description of an entity	narrative text
description	a human-readable description of an entity	narrative text
GOP:systematic_synonym	more commonly used for gene symbols in yeast	named thing|label type
systematic synonym	more commonly used for gene symbols in yeast	named thing|label type
affiliation	a professional relationship between one provider (often a person) within another provider (often an organization). Target provider identity should be specified by a CURIE. Providers may have multiple affiliations.	agent|uriorcurie
address	"the particulars of the place where someone or an organization is situated.  For now, this slot is a simple text ""blob"" containing all relevant details of the given location for fitness of purpose. For the moment, this ""address"" can include other contact details such as email and phone number(?)."	
latitude	latitude	float
longitude	longitude	float
duration	a point in time	time type
timepoint	a point in time	time type
publication date	date on which an entity was created. This can be applied to nodes or edges	date
creation date	date on which an entity was created. This can be applied to nodes or edges	date
update date	date on which an entity was updated. This can be applied to nodes or edges	date
aggregate statistic		
has count	number of things with a particular property	integer
has total	total number of things in a particular reference set	integer
has quotient		double
has percentage	equivalent to has quotient multiplied by 100	double
has taxonomic rank		taxonomic rank
has dataset		dataset version|dataset
source web page		dataset summary
schema:logo		dataset summary
source logo		dataset summary
retrieved on		dataset|date
version of		dataset version|dataset summary
version		dataset
license		information content entity
rights		information content entity
format		information content entity
created with		dataset
dcat:downloadURL		information content entity
download url		information content entity
dataset download url		dataset
distribution download url		dataset distribution
ingest date		dataset version
dct:distribution		dataset version|dataset distribution
has distribution		dataset version|dataset distribution
published in	CURIE identifier of a broader publication context within which the publication may be placed, e.g. a specified book or journal.	publication|uriorcurie
iso abbreviation	Standard abbreviation for periodicals in the International Organization for Standardization (ISO) 4 system See https://www.issn.org/services/online-services/access-to-the-ltwa/. If the 'published in' property is set, then the iso abbreviation pertains to the broader publication context (the journal) within which the given publication node is embedded, not the publication itself.	publication
authors	"connects an publication to the list of authors who contributed to the publication. This property should be a comma-delimited list of author names. It is recommended that an author's name be formatted as ""surname, firstname initial."".   Note that this property is a node annotation expressing the citation list of authorship which might typically otherwise be more completely documented in biolink:PublicationToProviderAssociation defined edges which point to full details about an author and possibly, some qualifiers which clarify the specific status of a given author in the publication."	publication|agent
volume	volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication	publication
chapter	chapter of a book	book chapter
issue	issue of a newspaper, a scientific journal or magazine for reference purpose	publication
pages	page number of source referenced for statement or publication	publication
abstract	executive  summary of a publication	publication
summary	executive  summary of a publication	publication
keywords	keywords tagging a publication	publication
mesh terms	mesh terms tagging a publication	publication|uriorcurie
has biological sequence	connects a genomic feature to its sequence	biological sequence
has gene or gene product	connects an entity with one or more gene or gene products	gene
has gene	connects an entity associated with one or more genes	gene
has zygosity		nucleic acid entity|zygosity
has chemical formula	description of chemical compound based on element symbols	chemical formula value
is metabolite	indicates whether a molecular entity is a metabolite	molecular entity|boolean
has constituent	one or more molecular entities within a chemical mixture	molecular entity
has drug	connects an entity to one or more drugs	drug
has device	connects an entity to one or more (medical) devices	device
has procedure	connects an entity to one or more (medical) procedures	procedure
has receptor	the organism or organism part being exposed	exposure event|organismal entity
has stimulus	the process or entity that the receptor is being exposed to	exposure event
has stressor	the process or entity that the receptor is being exposed to	exposure event
has route	the process that results in the stressor coming into direct contact with the receptor	exposure event
population context qualifier	a biological population (general, study, cohort, etc.) with a specific set of characteristics to constrain an association.	population of individual organisms
temporal context qualifier	a constraint of time placed upon the truth value of an association. for time intervales, use temporal interval qualifier.	time type
temporal interval qualifier	a constraint of a time interval placed upon the truth value of an association.	
is supplement		chemical mixture
trade name		chemical entity
available from		DrugAvailabilityEnum
is toxic		boolean
has chemical role	A role is particular behaviour which a chemical entity may exhibit.	chemical role
max tolerated dose	The highest dose of a drug or treatment that does not cause unacceptable side effects. The maximum tolerated dose is determined in clinical trials by testing increasing doses on different groups of people until the highest dose with acceptable side effects is found. Also called MTD.	string
animal model available from		disease or phenotypic feature
FDA adverse event level		FDAIDAAdverseEventEnum
highest FDA approval status	Should be the highest level of FDA approval this chemical entity or device has, regardless of which disease, condition or phenotype it is currently being reviewed to treat.  For specific levels of FDA approval for a specific condition, disease, phenotype, etc., see the association slot, 'FDA approval status.'	
max phase	An agglomeration of drug regulatory status worldwide. Not specific to FDA.	
drug regulatory status world wide	An agglomeration of drug regulatory status worldwide. Not specific to FDA.	
routes of delivery	the method or process of administering a pharmaceutical compound to achieve a therapeutic effect in humans or animals.	DrugDeliveryEnum
form or variant qualifier	A qualifier that composes with a core subject/object concept to define a specific type, variant, alternative version of this concept. The composed concept remains a subtype or instance of the core concept. For example, the qualifier ‘mutation’ combines with the core concept ‘Gene X’ to express the compose concept ‘a mutation of Gene X’.	
aspect qualifier	Composes with the core concept to describe new concepts of a different ontological type. e.g. a process in which the core concept participates, a function/activity/role held by the core concept, or a characteristic/quality that inheres in the core concept.  The purpose of the aspect slot is to indicate what aspect is being affected in an  'affects' association.	
derivative qualifier	A qualifier that composes with a core subject/object  concept to describe something that is derived from the core concept.  For example, the qualifier ‘metabolite’ combines with a ‘Chemical X’ core concept to express the composed concept ‘a metabolite of Chemical X’.	
part qualifier	defines a specific part/component of the core concept (used in cases there this specific part has no IRI we can use to directly represent it, e.g. 'ESR1 transcript' q: polyA tail).	
context qualifier	Restricts the setting/context/location where the core concept (or qualified core concept) resides or occurs.	
direction qualifier	Composes with the core concept (+ aspect if provided) to describe a change in its direction or degree.	
mapped predicate	The predicate that is being replaced by the fully qualified representation of predicate + subject and object  qualifiers.  Only to be used in test data and mapping data to help with the transition to the fully qualified predicate model. Not to be used in knowledge graphs.	
predicate mappings	A collection of relationships that are not used in biolink, but have biolink patterns that can  be used to replace them.  This is a temporary slot to help with the transition to the fully qualified predicate model in Biolink3.	predicate mapping
exact matches	A list of terms from different schemas or terminology systems that have an identical meaning. Such terms often describe the same concept from different ontological perspectives.	
narrow matches	A list of terms from different schemas or terminology systems that have a narrower meaning. Such terms often describe a more specific concept from different ontological perspectives.	
broad matches	A list of terms from different schemas or terminology systems that have a broader meaning. Such terms often describe a more general concept from different ontological perspectives.	
subject aspect qualifier		
subject form or variant qualifier		
subject part qualifier		
subject derivative qualifier		
subject context qualifier		
subject direction qualifier		DirectionQualifierEnum
object aspect qualifier		
object form or variant qualifier		
object part qualifier		
object derivative qualifier		
object context qualifier		
object direction qualifier		DirectionQualifierEnum
qualified predicate	Predicate to be used in an association when subject and object qualifiers are present and the full reading of the statement requires a qualification to the predicate in use in order to refine or  increase the specificity of the full statement reading.  This qualifier holds a relationship to be used instead of that  expressed by the primary predicate, in a ‘full statement’ reading of the association, where qualifier-based  semantics are included.  This is necessary only in cases where the primary predicate does not work in a  full statement reading.	
qualifier	grouping slot for all qualifiers on an edge.  useful for testing compliance with association classes	
statement qualifier		
causal mechanism qualifier	A statement qualifier representing a type of molecular control mechanism through which an effect of a chemical on a gene or gene product is mediated (e.g. 'agonism', 'inhibition', 'allosteric modulation', 'channel blocker')	CausalMechanismQualifierEnum
anatomical context qualifier	A statement qualifier representing an anatomical location where an relationship expressed in an association took place (can be a tissue, cell type, or sub-cellular location).	
species context qualifier	A statement qualifier representing a taxonomic category of species in which a relationship expressed in an association took place.	organism taxon
qualifiers	connects an association to qualifiers that modify or qualify the meaning of that association	ontology class
frequency qualifier	a qualifier used in a phenotypic association to state how frequent the phenotype is observed in the subject	frequency value
severity qualifier	a qualifier used in a phenotypic association to state how severe the phenotype is in the subject	severity value
sex qualifier	a qualifier used in a phenotypic association to state whether the association is specific to a particular sex.	biological sex
onset qualifier	a qualifier used in a phenotypic association to state when the phenotype appears is in the subject	onset
clinical modifier qualifier	the method or process of administering a pharmaceutical compound to achieve a therapeutic effect in humans or animals.	clinical modifier
sequence variant qualifier	a qualifier used in an association with the variant	sequence variant
quantifier qualifier	A measurable quantity for the object of the association	ontology class
catalyst qualifier	a qualifier that connects an association between two causally connected entities (for example, two chemical entities, or a chemical entity in that changes location) and the gene product, gene, or complex that enables or catalyzes the change.	macromolecular machine mixin
stage qualifier	stage during which gene or protein expression of takes place.	life stage
related to	A relationship that is asserted between two named things	named thing|named thing
related to at concept level	Represents a relationship held between terminology components that describe the conceptual model of a domain.	
related to at instance level	Represents a relationship held between two instances of a data classes.  Much like an assertion component, in an ABox, these represent facts associated with the conceptual model.	
associated with	Expresses a relationship between two named things where the relationship is typically generated statistically (though not in all cases), and is weaker than its child, 'correlated with', but stronger than its parent, 'related to'. This relationship holds between two concepts represented by variables for which a statistical  dependence is demonstrated.  E.g. the statement “Atrial Fibrillation (Afib) is associated with Myocardial  Infraction (MI)” asserts that having Afib is not statistically independent from whether a patient  will also have MI. Note that in Translator associations, the subject and object concepts may map exactly to  the statistical variables, or represent related entities for which the variables serve as proxies in an  Association (e.g. diseases, chemical entities or processes).	named thing|named thing
superclass of	holds between two classes where the domain class is a super class of the range class	ontology class|ontology class
subclass of	holds between two classes where the domain class is a specialization of the range class	ontology class|ontology class
same as	holds between two entities that are considered equivalent to each other	
close match	a list of terms from different schemas or terminology systems that have a semantically similar but not strictly equivalent, broader, or narrower meaning. Such terms often describe the same general concept from different ontological perspectives (e.g. drug as a type of chemical entity versus drug as a type of role borne by a chemical entity).	
exact match	holds between two entities that have strictly equivalent meanings, with a high degree of confidence	
broad match	a list of terms from different schemas or terminology systems that have a broader, more general meaning. Broader terms are typically shown as parents in a hierarchy or tree.	
narrow match	a list of terms from different schemas or terminology systems that have a narrower, more specific meaning. Narrower terms are typically shown as children in a hierarchy or tree.	
member of	Defines a mereological relation between a item and a collection.	
has member	Defines a mereological relation between a collection and an item.	
opposite of	x is the opposite of y if there exists some distance metric M, and there exists no z such as M(x,z) <= M(x,y) or M(y,z) <= M(y,x). (This description is from RO. Needs to be rephrased).	
associated with likelihood of	A a relationship that holds between two concepts represented by variables for which a statistical  dependence is demonstrated, wherein the state or value of one variable predicts the future state  or value of the other.  E.g. the statement “An Atrial Fibrillation (Afib) diagnosis is associated  with likelihood of a Myocardial Infraction (MI) diagnosis” asserts that the state of having Afib  is associated with an increased or decreased likelihood that a patient will later exhibit MI.	
likelihood associated with		
associated with increased likelihood of	Expresses a relationship between two named things where the relationship is typically generated statistically and the state or fact of something is more probable.	
increased likelihood associated with		
associated with decreased likelihood of	Expresses a relationship between two named things where the relationship is typically generated statistically and the state or fact of something is less probable.	
decreased likelihood associated with		
target for	A gene is a target of a disease when its products are druggable and when a drug interaction with the gene product could have a therapeutic effect	gene|disease
has target		disease|gene
active in		gene or gene product|cellular component
has active component		cellular component|gene or gene product
acts upstream of		gene or gene product|biological process
has upstream actor		biological process|gene or gene product
acts upstream of positive effect		gene or gene product|biological process
has positive upstream actor		biological process|gene or gene product
acts upstream of negative effect		gene or gene product|biological process
has negative upstream actor		biological process|gene or gene product
acts upstream of or within		gene or gene product|biological process
has upstream or within actor		biological process|gene or gene product
acts upstream of or within positive effect		gene or gene product|biological process
has positive upstream or within actor		biological process|gene or gene product
acts upstream of or within negative effect		gene or gene product|biological process
has negative upstream or within actor		biological process|gene or gene product
mentions	refers to is a relation between one information content entity and the named thing that it makes reference to.	
mentioned by	refers to is a relation between one named thing and the information content entity that it makes reference to.	
contributor		agent|information content entity
has contributor		information content entity|agent
provider	person, group, organization or project that provides a piece of information (e.g. a knowledge association).	
has provider		information content entity|agent
publisher	"organization or person responsible for publishing books, periodicals, podcasts, games or software. Note that in the case of publications which have a containing ""published in"" node property, the publisher association may not be attached directly to the embedded child publication, but only made in between the parent's publication node and the publisher agent of the encompassing publication (e.g. only from the Journal referenced by the 'published_in' property of an journal article Publication node)."	agent|publication
has publisher		publication|agent
editor	"editor of a compiled work such as a book or a periodical (newspaper or an academic journal). Note that in the case of publications which have a containing ""published in"" node property, the editor association may not be attached directly to the embedded child publication, but only made in between the parent's publication node and the editorial agent of the encompassing publication (e.g. only from the Book referenced by the 'published_in' property of a book chapter Publication node)."	agent|publication
has editor		publication|agent
author	an instance of one (co-)creator primarily responsible for a written work	agent|publication
has author		publication|agent
was assayed against	The effect of a thing on a target was interrogated in some assay. A relationship between some perturbing agent (usually a chemical compound) and some target entity, where the affect of the perturbing agent on the target entity was interrogated in a particular assay. The target might be a particular protein, tissue, phenotype, whole organism, cell line, or other type of biological entity.	named thing|named thing
assesses	The effect of a thing on a target was interrogated in some assay. A relationship between some perturbing agent (usually a chemical compound) and some target entity, where the affect of the perturbing agent on the target entity was interrogated in a particular assay. The target might be a particular protein, tissue, phenotype, whole organism, cell line, or other type of biological entity.	named thing|named thing
is assessed by		named thing|named thing
interacts with	holds between any two entities that directly or indirectly interact with each other	named thing|named thing
physically interacts with	holds between two entities that make physical contact as part of some interaction.  does not imply a causal relationship.	
directly physically interacts with	A causal mechanism mediated by a direct contact between the effector and target entities (this contact may  be weak or strong, transient or stable).	
binds	A causal mechanism mediated by the direct contact between effector and target chemical or biomolecular entity,  which form a stable physical interaction.	
indirectly physically interacts with		
genetically interacts with	holds between two genes whose phenotypic effects are dependent on each other in some way - such that their combined phenotypic effects are the result of some interaction between the activity of their gene products. Examples include epistasis and synthetic lethality.	gene|gene
gene_fusion_with	holds between two independent genes that have fused through  translocation, interstitial deletion, or chromosomal inversion to  form a new, hybrid gene. Fusion genes are often implicated in various neoplasms and cancers.	gene|gene
genetic_neighborhood_of	holds between two genes located nearby one another on a chromosome. 	gene|gene
affects	describes an entity that has a direct affect on the state or quality of another existing entity. Use of the 'affects' predicate implies that the affected entity already exists, unlike predicates such as 'affects risk for' and 'prevents, where the outcome is something that may or may not come to be.	
affected by	describes an entity of which the state or quality is affected by another existing entity.	
associated with sensitivity to	A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of sensitivity to treatment by the chemical.	named thing|chemical entity
sensitivity associated with		chemical entity|named thing
associated with resistance to	A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of resistance to treatment by the chemical.	named thing|chemical entity
resistance associated with		chemical entity|named thing
diagnoses	a relationship that identifies the nature of (an illness or other problem) by examination  of the symptoms.	diagnostic aid|disease or phenotypic feature
is diagnosed by		disease or phenotypic feature|diagnostic aid
increases amount or activity of	A grouping mixin to help with searching for all the predicates that increase the amount or activity of the object.	
amount or activity increased by		
decreases amount or activity of	A grouping mixin to help with searching for all the predicates that decrease the amount or activity of the object.	
amount or activity decreased by		
chemical role mixin	A role played by the chemical entity or part thereof within a chemical context.	
biological role mixin	A role played by the chemical entity or part thereof within a biological context.	
affects response to		chemical entity or gene or gene product|chemical entity or gene or gene product
response affected by	holds between two chemical entities where the susceptibility of a biological entity or system (e.g. an organism, cell, cellular component, macromolecular machine mixin, biological or pathological process) of one is affected by the action of the other.	chemical entity or gene or gene product|chemical entity or gene or gene product
increases response to	holds between two chemical entities where the action or effect of one increases the susceptibility of a biological entity or system (e.g. an organism, cell, cellular component, macromolecular machine mixin, biological or pathological process) to the other	chemical entity or gene or gene product|chemical entity or gene or gene product
response increased by		chemical entity or gene or gene product|chemical entity or gene or gene product
decreases response to	holds between two chemical entities where the action or effect of one decreases the susceptibility of a biological entity or system (e.g. an organism, cell, cellular component, macromolecular machine mixin, biological or pathological process) to the other	chemical entity or gene or gene product|chemical entity or gene or gene product
response decreased by		chemical entity or gene or gene product|chemical entity or gene or gene product
regulates	A more specific form of affects, that implies the effect results from a biologically evolved control mechanism. Gene-affects-gene relationships will (almost) always involve regulation.  Exogenous/environmental chemical-affects-gene relationships  are not cases of regulation in this definition. Instead these would be captured using the 'affects' predicate, or possibly one of the 'interacts with' predicates depending on the nature of the interaction.	physical essence or occurrent|physical essence or occurrent
regulated by		physical essence or occurrent|physical essence or occurrent
disease causes disruption of	describes a relationship where one entity degrades or interferes with the structure, function, or occurrence of another.	
disrupts	describes a relationship where one entity degrades or interferes with the structure, function, or occurrence of another.	
disrupted by	describes a relationship where the structure, function, or occurrence of one entity is degraded or interfered with by another.	
gene product of	definition x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of thatf process is either y or something that is ribosomally translated from x	gene product mixin|gene
has gene product	holds between a gene and a transcribed and/or translated product generated from it	gene|gene product mixin
transcribed to	inverse of transcribed from	gene|transcript
transcribed from	x is transcribed from y if and only if x is synthesized from template y	transcript|gene
translates to	x (amino acid chain/polypeptide) is the ribosomal translation of y (transcript) if and only if a ribosome reads y (transcript) through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces x (amino acid chain/polypeptide)	transcript|protein
translation of	inverse of translates to	protein|transcript
in homology relationship with	holds between two biological entities that have common evolutionary origin	
homologous to	holds between two biological entities that have common evolutionary origin	
paralogous to	a homology relationship that holds between entities (typically genes) that diverged after a duplication event.	
orthologous to	a homology relationship between entities (typically genes) that diverged after a speciation event.	
xenologous to	a homology relationship characterized by an interspecies (horizontal) transfer since the common ancestor.	
coexists with	holds between two entities that are co-located in the same aggregate object, process, or spatio-temporal region	
in pathway with	holds between two genes or gene products that are part of in the same biological pathway	gene or gene product|gene or gene product
in complex with	holds between two genes or gene products that are part of (or code for products that are part of) in the same macromolecular complex	gene or gene product|gene or gene product
in cell population with	holds between two genes or gene products that are expressed in the same cell type or population	gene or gene product|gene or gene product
colocalizes with	holds between two entities that are observed to be located in the same place.	
genetic association		
genetically associated with		
gene associated with condition	holds between a gene and a disease or phenotypic feature that the gene or its alleles/products may influence, contribute to, or correlate with	disease or phenotypic feature|gene
disease associated with gene	holds between a gene and a disease or phenotypic feature that may be influenced, contribute to, or be correlated with the gene or its alleles/products	gene|disease or phenotypic feature
condition associated with gene	holds between a gene and a disease or phenotypic feature that may be influenced, contribute to, or be correlated with the gene or its alleles/products	gene|disease or phenotypic feature
affects risk for	holds between two entities where exposure to one entity alters the chance of developing the other	
risk affected by		
predisposes	holds between two entities where exposure to one entity increases the chance of developing the other	
has predisposing factor		
contributes to	holds between two entities where the occurrence, existence, or activity of one contributes to the occurrence or generation of the other	
contribution from		
causes	holds between two entities where the occurrence, existence, or activity of one causes the occurrence or generation of the other	
disease caused by disruption of	holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other	
disease has basis in dysfunction of	holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other	
realized in response to	holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other	
realized in response to stimulus	holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other	
caused by	holds between two entities where the occurrence, existence, or activity of one is caused by the occurrence or generation of the other	
ameliorates	A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure, clinical intervention) and a condition (a phenotype or disease), where the presence of the entity reduces or eliminates some or all aspects of the condition.	named thing|disease or phenotypic feature
is ameliorated by		disease or phenotypic feature|named thing
exacerbates	A relationship between an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) and a condition (a phenotype or disease), where the presence of the entity worsens some or all aspects of the condition.	biological entity|disease or phenotypic feature
is exacerbated by		disease or phenotypic feature|biological entity
is substance that treats	holds between a therapeutic procedure or chemical entity and a disease or phenotypic feature that it is used to treat	chemical or drug or treatment|disease or phenotypic feature
indicated for	holds between a therapeutic procedure or chemical entity and a disease or phenotypic feature that it is used to treat	chemical or drug or treatment|disease or phenotypic feature
treats	holds between a therapeutic procedure or chemical entity and a disease or phenotypic feature that it is used to treat	chemical or drug or treatment|disease or phenotypic feature
treated by	holds between a disease or phenotypic feature and a therapeutic process or chemical entity that is used to treat the condition	disease or phenotypic feature|chemical or drug or treatment
prevents	holds between an entity whose application or use reduces the likelihood of a potential outcome. Typically used to associate a chemical entity, exposure, activity, or medical intervention that can prevent the onset a disease or phenotypic feature.	
prevented by	holds between a potential outcome of which the likelihood was reduced by the application or use of an entity.	
correlated with	A relationship that holds between two concepts represented by variables for which a statistical dependence is  demonstrated using a correlation analysis method.	named thing|named thing
positively correlated with	A relationship that holds between two concepts represented by variables for which a statistical correlation  is demonstrated, wherein variable values move together in the same direction (i.e. increased in one or  presence of one correlates with an increase or presence of the other).	named thing|named thing
negatively correlated with	A relationship that holds between two concepts represented by variables for which a statistical correlation  is demonstrated, wherein variable values move in opposite directions (i.e. increased in one or presence of  one correlates with a decrease or absence of the other).	named thing|named thing
occurs together in literature with	holds between two entities where their co-occurrence is correlated by counts of publications in which both occur, using some threshold of occurrence as defined by the edge provider.	named thing|named thing
coexpressed with	holds between any two genes or gene products, in which both are generally expressed within a single defined experimental context.	gene or gene product|gene or gene product
has biomarker	"holds between a disease or phenotypic feature and a measurable chemical entity that is used as an indicator of the presence or state of the disease or feature.
 # metabolite"	disease or phenotypic feature|chemical entity or gene or gene product
biomarker for	holds between a measurable chemical entity and a disease or phenotypic feature, where the entity is used as an indicator of the presence or state of the disease or feature.	chemical entity or gene or gene product|disease or phenotypic feature
expressed in	holds between a gene or gene product and an anatomical entity in which it is expressed	gene or gene product|anatomical entity
anatomy expresses gene	holds between an anatomical entity and gene or gene product that is expressed there	anatomical entity|gene or gene product
expresses	holds between an anatomical entity and gene or gene product that is expressed there	anatomical entity|gene or gene product
