source	edge_type	destination
has attribute	narrow_mappings	SNOMED:has_dose_form_release_characteristic
has attribute	narrow_mappings	SNOMED:has_dose_form_transformation
has attribute	narrow_mappings	SNOMED:has_finding_context
has attribute	narrow_mappings	SNOMED:has_finding_informer
has attribute	narrow_mappings	SNOMED:has_inherent_attribute
has attribute	narrow_mappings	SNOMED:has_intent
has attribute	narrow_mappings	SNOMED:has_interpretation
has attribute	narrow_mappings	SNOMED:has_laterality
has attribute	narrow_mappings	SNOMED:has_measurement_method
has attribute	narrow_mappings	SNOMED:has_method
has attribute	narrow_mappings	SNOMED:has_priority
has attribute	narrow_mappings	SNOMED:has_procedure_context
has attribute	narrow_mappings	SNOMED:has_process_duration
has attribute	narrow_mappings	SNOMED:has_property
has attribute	narrow_mappings	SNOMED:has_revision_status
has attribute	narrow_mappings	SNOMED:has_scale_type
has attribute	narrow_mappings	SNOMED:has_severity
has attribute	narrow_mappings	SNOMED:has_specimen
has attribute	narrow_mappings	SNOMED:has_state_of_matter
has attribute	narrow_mappings	SNOMED:has_subject_relationship_context
has attribute	narrow_mappings	SNOMED:has_surgical_approach
has attribute	narrow_mappings	SNOMED:has_technique
has attribute	narrow_mappings	SNOMED:has_temporal_context
has attribute	narrow_mappings	SNOMED:has_time_aspect
has attribute	narrow_mappings	SNOMED:has_units
has attribute	narrow_mappings	UMLS:has_structural_class
has attribute	narrow_mappings	UMLS:has_supported_concept_property
has attribute	narrow_mappings	UMLS:has_supported_concept_relationship
has attribute	narrow_mappings	UMLS:may_be_qualified_by
has attribute type	in_subset	samples
has attribute type	narrow_mappings	LOINC:has_modality_type
has attribute type	narrow_mappings	LOINC:has_view_type
has qualitative value	in_subset	samples
has quantitative value	in_subset	samples
has quantitative value	exact_mappings	qud:quantityValue
has quantitative value	narrow_mappings	SNOMED:has_concentration_strength_numerator_value
has quantitative value	narrow_mappings	SNOMED:has_presentation_strength_denominator_value
has quantitative value	narrow_mappings	SNOMED:has_presentation_strength_numerator_value
has numeric value	in_subset	samples
has numeric value	exact_mappings	qud:quantityValue
has unit	in_subset	samples
has unit	close_mappings	EFO:0001697
has unit	close_mappings	UO-PROPERTY:is_unit_of
has unit	exact_mappings	qud:unit
has unit	exact_mappings	IAO:0000039
has unit	narrow_mappings	SNOMED:has_concentration_strength_denominator_unit
has unit	narrow_mappings	SNOMED:has_concentration_strength_numerator_unit
has unit	narrow_mappings	SNOMED:has_presentation_strength_denominator_unit
has unit	narrow_mappings	SNOMED:has_presentation_strength_numerator_unit
has unit	narrow_mappings	SNOMED:has_unit_of_presentation
one-based	is_a	sequence localization attribute
fully-closed	is_a	sequence localization attribute
base coordinate	is_a	sequence localization attribute
id	in_subset	translator_minimal
id	exact_mappings	AGRKB:primaryId
id	exact_mappings	gff3:ID
id	exact_mappings	gpi:DB_Object_ID
iri	in_subset	translator_minimal
iri	in_subset	samples
iri	exact_mappings	WIKIDATA_PROPERTY:P854
rdf:type	exact_mappings	AGRKB:soTermId
type	exact_mappings	AGRKB:soTermId
rdf:type	exact_mappings	gff3:type
type	exact_mappings	gff3:type
rdf:type	exact_mappings	gpi:DB_Object_Type
type	exact_mappings	gpi:DB_Object_Type
category	in_subset	translator_minimal
category	is_a	type
dct:type	values_from	dctypes
publication type	values_from	dctypes
dct:type	values_from	fabio
publication type	values_from	fabio
dct:type	values_from	MESH_PUB
publication type	values_from	MESH_PUB
dct:type	values_from	COAR_RESOURCE
publication type	values_from	COAR_RESOURCE
dct:type	values_from	WIKIDATA
publication type	values_from	WIKIDATA
rdfs:label	in_subset	translator_minimal
label	in_subset	translator_minimal
display name	in_subset	translator_minimal
title	in_subset	translator_minimal
name	in_subset	translator_minimal
rdfs:label	in_subset	samples
label	in_subset	samples
display name	in_subset	samples
title	in_subset	samples
name	in_subset	samples
rdfs:label	exact_mappings	gff3:Name
label	exact_mappings	gff3:Name
display name	exact_mappings	gff3:Name
title	exact_mappings	gff3:Name
name	exact_mappings	gff3:Name
rdfs:label	exact_mappings	gpi:DB_Object_Name
label	exact_mappings	gpi:DB_Object_Name
display name	exact_mappings	gpi:DB_Object_Name
title	exact_mappings	gpi:DB_Object_Name
name	exact_mappings	gpi:DB_Object_Name
rdfs:label	narrow_mappings	dct:title
label	narrow_mappings	dct:title
display name	narrow_mappings	dct:title
title	narrow_mappings	dct:title
name	narrow_mappings	dct:title
rdfs:label	narrow_mappings	WIKIDATA_PROPERTY:P1476
label	narrow_mappings	WIKIDATA_PROPERTY:P1476
display name	narrow_mappings	WIKIDATA_PROPERTY:P1476
title	narrow_mappings	WIKIDATA_PROPERTY:P1476
name	narrow_mappings	WIKIDATA_PROPERTY:P1476
stoichiometry	is_a	association slot
reaction direction	narrow_mappings	NCIT:C42677
reaction direction	is_a	association slot
reaction balanced	is_a	association slot
reaction side	is_a	association slot
symbol	exact_mappings	AGRKB:symbol
symbol	exact_mappings	gpi:DB_Object_Symbol
symbol	is_a	node property
alias	in_subset	translator_minimal
synonym	in_subset	translator_minimal
alias	narrow_mappings	skos:altLabel
synonym	narrow_mappings	skos:altLabel
alias	narrow_mappings	gff3:Alias
synonym	narrow_mappings	gff3:Alias
alias	narrow_mappings	AGRKB:synonyms
synonym	narrow_mappings	AGRKB:synonyms
alias	narrow_mappings	gpi:DB_Object_Synonyms
synonym	narrow_mappings	gpi:DB_Object_Synonyms
alias	narrow_mappings	HANCESTRO:0330
synonym	narrow_mappings	HANCESTRO:0330
alias	narrow_mappings	IAO:0000136
synonym	narrow_mappings	IAO:0000136
alias	narrow_mappings	RXNORM:has_tradename
synonym	narrow_mappings	RXNORM:has_tradename
alias	is_a	node property
synonym	is_a	node property
exact synonym	exact_mappings	oboInOwl:hasExactSynonym
exact synonym	is_a	synonym
broad synonym	exact_mappings	oboInOwl:hasBroadSynonym
broad synonym	is_a	synonym
narrow synonym	exact_mappings	oboInOwl:hasNarrowSynonym
narrow synonym	is_a	synonym
related synonym	exact_mappings	oboInOwl:hasRelatedSynonym
related synonym	is_a	synonym
topic	exact_mappings	foaf:topic
descriptors	exact_mappings	foaf:topic
has topic	exact_mappings	foaf:topic
topic	is_a	node property
descriptors	is_a	node property
has topic	is_a	node property
dbxref	in_subset	translator_minimal
Dbxref	in_subset	translator_minimal
DbXref	in_subset	translator_minimal
record_url	in_subset	translator_minimal
source_record_urls	in_subset	translator_minimal
xref	in_subset	translator_minimal
dbxref	narrow_mappings	gff3:Dbxref
Dbxref	narrow_mappings	gff3:Dbxref
DbXref	narrow_mappings	gff3:Dbxref
record_url	narrow_mappings	gff3:Dbxref
source_record_urls	narrow_mappings	gff3:Dbxref
xref	narrow_mappings	gff3:Dbxref
dbxref	narrow_mappings	gpi:DB_Xrefs
Dbxref	narrow_mappings	gpi:DB_Xrefs
DbXref	narrow_mappings	gpi:DB_Xrefs
record_url	narrow_mappings	gpi:DB_Xrefs
source_record_urls	narrow_mappings	gpi:DB_Xrefs
xref	narrow_mappings	gpi:DB_Xrefs
support graphs	in_subset	translator_minimal
resource id	in_subset	translator_minimal
resource id	is_a	node property
resource role	in_subset	translator_minimal
resource role	is_a	node property
retrieval source ids	in_subset	translator_minimal
full name	is_a	node property
upstream resource ids	is_a	node property
dct:description	in_subset	translator_minimal
definition	in_subset	translator_minimal
description	in_subset	translator_minimal
dct:description	exact_mappings	IAO:0000115
definition	exact_mappings	IAO:0000115
description	exact_mappings	IAO:0000115
dct:description	exact_mappings	skos:definitions
definition	exact_mappings	skos:definitions
description	exact_mappings	skos:definitions
dct:description	narrow_mappings	gff3:Description
definition	narrow_mappings	gff3:Description
description	narrow_mappings	gff3:Description
GOP:systematic_synonym	is_a	node property
systematic synonym	is_a	node property
affiliation	is_a	node property
address	is_a	node property
latitude	exact_mappings	wgs:lat
latitude	is_a	node property
longitude	exact_mappings	wgs:long
longitude	is_a	node property
publication date	exact_mappings	dct:createdOn
creation date	exact_mappings	dct:createdOn
publication date	exact_mappings	WIKIDATA_PROPERTY:P577
creation date	exact_mappings	WIKIDATA_PROPERTY:P577
publication date	is_a	node property
creation date	is_a	node property
update date	is_a	node property
aggregate statistic	is_a	node property
has count	exact_mappings	LOINC:has_count
has count	is_a	aggregate statistic
has total	is_a	aggregate statistic
has quotient	is_a	aggregate statistic
has percentage	is_a	aggregate statistic
has taxonomic rank	is_a	node property
has taxonomic rank	mappings	WIKIDATA:P105
has dataset	is_a	node property
has dataset	broad_mappings	dct:source
source web page	is_a	node property
source web page	broad_mappings	dct:source
schema:logo	is_a	node property
source logo	is_a	node property
retrieved on	exact_mappings	pav:retrievedOn
retrieved on	is_a	node property
version of	exact_mappings	dct:isVersionOf
version of	is_a	node property
version	is_a	node property
version	broad_mappings	pav:version
version	broad_mappings	owl:versionInfo
license	exact_mappings	dct:license
license	narrow_mappings	WIKIDATA_PROPERTY:P275
license	is_a	node property
rights	exact_mappings	dct:rights
rights	is_a	node property
format	exact_mappings	dct:format
format	exact_mappings	WIKIDATA_PROPERTY:P2701
format	is_a	node property
created with	exact_mappings	pav:createdWith
created with	is_a	node property
dcat:downloadURL	is_a	node property
download url	is_a	node property
dataset download url	is_a	node property
distribution download url	exact_mappings	dcat:downloadURL
distribution download url	is_a	node property
ingest date	is_a	node property
ingest date	broad_mappings	dct:issued
dct:distribution	is_a	node property
has distribution	is_a	node property
published in	exact_mappings	WIKIDATA_PROPERTY:P1433
published in	is_a	node property
published in	values_from	NLMID
published in	values_from	issn
published in	values_from	isbn
iso abbreviation	exact_mappings	WIKIDATA_PROPERTY:P1160
iso abbreviation	is_a	node property
authors	is_a	node property
volume	exact_mappings	WIKIDATA_PROPERTY:P478
volume	is_a	node property
chapter	exact_mappings	WIKIDATA:Q1980247
chapter	is_a	node property
issue	exact_mappings	WIKIDATA_PROPERTY:P433
issue	is_a	node property
pages	exact_mappings	WIKIDATA_PROPERTY:P304
pages	is_a	node property
abstract	exact_mappings	dct:abstract
summary	exact_mappings	dct:abstract
abstract	exact_mappings	WIKIDATA:Q333291
summary	exact_mappings	WIKIDATA:Q333291
abstract	is_a	node property
summary	is_a	node property
keywords	is_a	node property
mesh terms	exact_mappings	dcid:MeSHTerm
mesh terms	is_a	node property
mesh terms	values_from	MESH
has biological sequence	is_a	node property
has gene or gene product	is_a	node property
has gene	is_a	has gene or gene product
has zygosity	is_a	node property
has chemical formula	exact_mappings	WIKIDATA_PROPERTY:P274
has chemical formula	is_a	node property
is metabolite	exact_mappings	CHEBI:25212
is metabolite	is_a	node property
has constituent	is_a	node property
has drug	is_a	node property
has device	is_a	node property
has procedure	is_a	node property
has receptor	exact_mappings	ExO:0000001
has receptor	is_a	node property
has stimulus	exact_mappings	ExO:0000000
has stressor	exact_mappings	ExO:0000000
has stimulus	is_a	node property
has stressor	is_a	node property
has route	exact_mappings	ExO:0000055
has route	narrow_mappings	LOINC:has_pharmaceutical_route
has route	narrow_mappings	SNOMED:has_dose_form_intended_site
has route	narrow_mappings	SNOMED:has_route_of_administration
has route	is_a	node property
population context qualifier	is_a	qualifier
temporal context qualifier	is_a	qualifier
temporal interval qualifier	is_a	temporal context qualifier
is supplement	is_a	node property
trade name	is_a	node property
available from	is_a	node property
is toxic	is_a	node property
has chemical role	is_a	related to at concept level
max tolerated dose	is_a	node property
animal model available from	is_a	node property
FDA adverse event level	is_a	association slot
max phase	exact_mappings	NCIT:C172573
drug regulatory status world wide	exact_mappings	NCIT:C172573
max phase	narrow_mappings	NCIT:R172
drug regulatory status world wide	narrow_mappings	NCIT:R172
max phase	narrow_mappings	NCIT:regimen_has_accepted_use_for_disease
drug regulatory status world wide	narrow_mappings	NCIT:regimen_has_accepted_use_for_disease
max phase	narrow_mappings	REPODB:clinically_tested_approved_unknown_phase
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_approved_unknown_phase
max phase	narrow_mappings	REPODB:clinically_tested_suspended_phase_0
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_suspended_phase_0
max phase	narrow_mappings	REPODB:clinically_tested_suspended_phase_1
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_suspended_phase_1
max phase	narrow_mappings	REPODB:clinically_tested_suspended_phase_1_or_phase_2
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_suspended_phase_1_or_phase_2
max phase	narrow_mappings	REPODB:clinically_tested_suspended_phase_2
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_suspended_phase_2
max phase	narrow_mappings	REPODB:clinically_tested_suspended_phase_2_or_phase_3
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_suspended_phase_2_or_phase_3
max phase	narrow_mappings	REPODB:clinically_tested_suspended_phase_3
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_suspended_phase_3
max phase	narrow_mappings	REPODB:clinically_tested_terminated_phase_0
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_terminated_phase_0
max phase	narrow_mappings	REPODB:clinically_tested_terminated_phase_1
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_terminated_phase_1
max phase	narrow_mappings	REPODB:clinically_tested_terminated_phase_1_or_phase_2
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_terminated_phase_1_or_phase_2
max phase	narrow_mappings	REPODB:clinically_tested_terminated_phase_2
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_terminated_phase_2
max phase	narrow_mappings	REPODB:clinically_tested_terminated_phase_2_or_phase_3
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_terminated_phase_2_or_phase_3
max phase	narrow_mappings	REPODB:clinically_tested_terminated_phase_3
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_terminated_phase_3
max phase	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_0
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_0
max phase	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_1
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_1
max phase	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_1_or_phase_2
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_1_or_phase_2
max phase	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_2
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_2
max phase	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_2_or_phase_3
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_2_or_phase_3
max phase	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_3
drug regulatory status world wide	narrow_mappings	REPODB:clinically_tested_withdrawn_phase_3
form or variant qualifier	in_subset	translator_minimal
form or variant qualifier	is_a	qualifier
aspect qualifier	in_subset	translator_minimal
aspect qualifier	is_a	qualifier
derivative qualifier	in_subset	translator_minimal
derivative qualifier	is_a	qualifier
part qualifier	in_subset	translator_minimal
part qualifier	is_a	qualifier
context qualifier	in_subset	translator_minimal
context qualifier	is_a	qualifier
direction qualifier	in_subset	translator_minimal
direction qualifier	is_a	qualifier
subject aspect qualifier	in_subset	translator_minimal
subject aspect qualifier	is_a	aspect qualifier
subject form or variant qualifier	in_subset	translator_minimal
subject form or variant qualifier	is_a	form or variant qualifier
subject part qualifier	in_subset	translator_minimal
subject part qualifier	is_a	part qualifier
subject derivative qualifier	in_subset	translator_minimal
subject derivative qualifier	is_a	derivative qualifier
subject context qualifier	in_subset	translator_minimal
subject context qualifier	is_a	context qualifier
subject direction qualifier	in_subset	translator_minimal
subject direction qualifier	is_a	direction qualifier
object aspect qualifier	in_subset	translator_minimal
object aspect qualifier	is_a	aspect qualifier
object form or variant qualifier	in_subset	translator_minimal
object form or variant qualifier	is_a	form or variant qualifier
object part qualifier	in_subset	translator_minimal
object part qualifier	is_a	part qualifier
object derivative qualifier	in_subset	translator_minimal
object derivative qualifier	is_a	derivative qualifier
object context qualifier	in_subset	translator_minimal
object context qualifier	is_a	context qualifier
object direction qualifier	in_subset	translator_minimal
object direction qualifier	is_a	direction qualifier
qualified predicate	is_a	qualifier
qualifier	in_subset	translator_minimal
qualifier	is_a	association slot
statement qualifier	in_subset	translator_minimal
statement qualifier	is_a	qualifier
causal mechanism qualifier	in_subset	translator_minimal
causal mechanism qualifier	is_a	statement qualifier
anatomical context qualifier	in_subset	translator_minimal
anatomical context qualifier	is_a	statement qualifier
species context qualifier	in_subset	translator_minimal
species context qualifier	is_a	statement qualifier
qualifiers	is_a	association slot
frequency qualifier	in_subset	translator_minimal
frequency qualifier	is_a	qualifier
severity qualifier	in_subset	translator_minimal
severity qualifier	is_a	qualifier
sex qualifier	in_subset	translator_minimal
sex qualifier	is_a	qualifier
onset qualifier	in_subset	translator_minimal
onset qualifier	is_a	qualifier
clinical modifier qualifier	is_a	association slot
sequence variant qualifier	is_a	association slot
quantifier qualifier	narrow_mappings	LOINC:analyzes
quantifier qualifier	narrow_mappings	LOINC:measured_by
quantifier qualifier	narrow_mappings	LOINC:property_of
quantifier qualifier	narrow_mappings	SEMMEDDB:MEASURES
quantifier qualifier	narrow_mappings	UMLS:measures
quantifier qualifier	is_a	association slot
catalyst qualifier	is_a	association slot
stage qualifier	in_subset	translator_minimal
stage qualifier	is_a	association slot
related to	exact_mappings	skos:relatedMatch
related to	exact_mappings	UMLS:related_to
related to	exact_mappings	SEMMEDDB:ASSOCIATED_WITH
related to	exact_mappings	SEMMEDDB:ADMINISTERED_TO
related to	narrow_mappings	SEMMEDDB:compared_with
related to	narrow_mappings	SEMMEDDB:higher_than
related to	narrow_mappings	SEMMEDDB:lower_than
related to	narrow_mappings	BFO:0000054
related to	narrow_mappings	UBERON_CORE:protects
related to	narrow_mappings	GOREL:0002005
related to	narrow_mappings	GOREL:0012006
related to	narrow_mappings	BTO:related_to
related to	narrow_mappings	CHEBI:is_conjugate_acid_of
related to	narrow_mappings	CHEBI:is_conjugate_base_of
related to	narrow_mappings	CPT:has_add_on_code
related to	narrow_mappings	CPT:mapped_to
related to	narrow_mappings	EFO:0006351
related to	narrow_mappings	FMA:connected_to
related to	narrow_mappings	FMA:continuous_with
related to	narrow_mappings	FMA:homonym_of
related to	narrow_mappings	FMA:related_developmental_entity_of
related to	narrow_mappings	RO:0002093
related to	narrow_mappings	RO:0002092
related to	narrow_mappings	RO:0002084
related to	narrow_mappings	HCPCS:mapped_to
related to	narrow_mappings	HMDB:disease
related to	narrow_mappings	HMDB:has_protein_association
related to	narrow_mappings	IAO:0000136
related to	narrow_mappings	LOINC:has_answer
related to	narrow_mappings	LOINC:has_challenge
related to	narrow_mappings	LOINC:has_evaluation
related to	narrow_mappings	LOINC:mapped_to
related to	narrow_mappings	LOINC:mth_has_expanded_form
related to	narrow_mappings	MESH:RO
related to	narrow_mappings	MESH:has_mapping_qualifier
related to	narrow_mappings	MESH:mapped_to
related to	narrow_mappings	MONDO:disease_shares_features_of
related to	narrow_mappings	NCIT:disease_may_have_associated_disease
related to	narrow_mappings	NCIT:human_disease_maps_to_eo_disease
related to	narrow_mappings	NCIT:is_abnormal_cell_of_disease
related to	narrow_mappings	NCIT:is_related_to_endogenous_product
related to	narrow_mappings	UBERON_NONAMESPACE:connected_to
related to	narrow_mappings	UBERON_NONAMESPACE:innervated_by
related to	narrow_mappings	NBO-PROPERTY:is_about
related to	narrow_mappings	RO:0000053
related to	narrow_mappings	PATO:reciprocal_of
related to	narrow_mappings	RO:0000052
related to	narrow_mappings	RO:0002001
related to	narrow_mappings	RO:0002002
related to	narrow_mappings	RO:0002003
related to	narrow_mappings	RO:0002008
related to	narrow_mappings	RO:0002134
related to	narrow_mappings	RO:0002150
related to	narrow_mappings	RO:0002159
related to	narrow_mappings	RO:0002176
related to	narrow_mappings	RO:0002177
related to	narrow_mappings	RO:0002178
related to	narrow_mappings	RO:0002179
related to	narrow_mappings	RO:0002314
related to	narrow_mappings	RO:0002322
related to	narrow_mappings	RO:0002328
related to	narrow_mappings	RO:0002332
related to	narrow_mappings	RO:0002338
related to	narrow_mappings	RO:0002339
related to	narrow_mappings	RO:0002341
related to	narrow_mappings	RO:0002342
related to	narrow_mappings	RO:0002344
related to	narrow_mappings	RO:0002348
related to	narrow_mappings	RO:0002349
related to	narrow_mappings	RO:0002356
related to	narrow_mappings	RO:0002371
related to	narrow_mappings	RO:0002372
related to	narrow_mappings	RO:0002373
related to	narrow_mappings	RO:0002374
related to	narrow_mappings	RO:0002385
related to	narrow_mappings	RO:0002387
related to	narrow_mappings	RO:0002451
related to	narrow_mappings	RO:0002494
related to	narrow_mappings	RO:0002495
related to	narrow_mappings	RO:0002568
related to	narrow_mappings	RO:0002573
related to	narrow_mappings	RO:0004026
related to	narrow_mappings	RO:0004027
related to	narrow_mappings	RO:0009001
related to	narrow_mappings	RO:0009004
related to	narrow_mappings	RXNORM:has_form
related to	narrow_mappings	RXNORM:reformulated_to
related to	narrow_mappings	SNOMED:has_associated_morphology
related to	narrow_mappings	SNOMED:has_associated_procedure
related to	narrow_mappings	SNOMED:has_direct_morphology
related to	narrow_mappings	SNOMED:has_disposition
related to	narrow_mappings	SNOMED:has_indirect_morphology
related to	narrow_mappings	SNOMED:has_modification
related to	narrow_mappings	SNOMED:has_procedure_morphology
related to	narrow_mappings	SNOMED:has_specimen_source_morphology
related to	narrow_mappings	SNOMED:inheres_in
related to	narrow_mappings	SNOMED:is_interpreted_by
related to	narrow_mappings	SNOMED:relative_to_part_of
related to	narrow_mappings	UBERON:synapsed_by
related to	narrow_mappings	UMLS:RO
related to	narrow_mappings	UMLS:RQ
related to	narrow_mappings	UMLS:class_code_classified_by
related to	narrow_mappings	UMLS:exhibited_by
related to	narrow_mappings	UMLS:has_context_binding
related to	narrow_mappings	UMLS:has_form
related to	narrow_mappings	UMLS:has_mapping_qualifier
related to	narrow_mappings	UMLS:larger_than
related to	narrow_mappings	UMLS:mapped_to
related to	narrow_mappings	UMLS:owning_section_of
related to	broad_mappings	owl:topObjectProperty
related to at concept level	is_a	related to
related to at instance level	is_a	related to
associated with	narrow_mappings	RO:0004029
associated with	narrow_mappings	SNOMEDCT:47429007
associated with	is_a	related to at instance level
superclass of	in_subset	translator_minimal
superclass of	exact_mappings	WIKIDATA:Q66088480
superclass of	exact_mappings	CHEMBL.MECHANISM:superset_of
superclass of	exact_mappings	GO:inverse_isa
superclass of	exact_mappings	RXNORM:inverse_isa
superclass of	exact_mappings	MESH:inverse_isa
superclass of	exact_mappings	VANDF:inverse_isa
superclass of	narrow_mappings	NCIT:cdrh_parent_of
superclass of	narrow_mappings	NCIT:ctcae_5_parent_of
superclass of	narrow_mappings	NCIT:subset_includes_concept
superclass of	narrow_mappings	OMIM:has_manifestation
superclass of	narrow_mappings	SNOMED:has_basic_dose_form
superclass of	narrow_mappings	UMLS:RB
superclass of	is_a	related to at concept level
subclass of	in_subset	translator_minimal
subclass of	close_mappings	LOINC:class_of
subclass of	close_mappings	LOINC:has_class
subclass of	exact_mappings	rdfs:subClassOf
subclass of	exact_mappings	SEMMEDDB:ISA
subclass of	exact_mappings	WIKIDATA_PROPERTY:P279
subclass of	exact_mappings	CHEMBL.MECHANISM:subset_of
subclass of	exact_mappings	GO:isa
subclass of	exact_mappings	MESH:isa
subclass of	exact_mappings	RXNORM:isa
subclass of	exact_mappings	VANDF:isa
subclass of	narrow_mappings	CHEBI:has_parent_hydride
subclass of	narrow_mappings	LOINC:has_archetype
subclass of	narrow_mappings	LOINC:has_parent_group
subclass of	narrow_mappings	LOINC:is_presence_guidance_for
subclass of	narrow_mappings	NCIT:gene_product_has_chemical_classification
subclass of	narrow_mappings	NCIT:R36
subclass of	narrow_mappings	NCIT:R42
subclass of	narrow_mappings	NCIT:A16
subclass of	narrow_mappings	NCIT:A11
subclass of	narrow_mappings	NCIT:A14
subclass of	narrow_mappings	NCIT:A3
subclass of	narrow_mappings	NDDF:has_dose_form
subclass of	narrow_mappings	RXNORM:has_dose_form
subclass of	narrow_mappings	RXNORM:has_doseformgroup
subclass of	narrow_mappings	SNOMED:entire_anatomy_structure_of
subclass of	narrow_mappings	SNOMED:has_dose_form
subclass of	narrow_mappings	rdfs:subPropertyOf
subclass of	is_a	related to at concept level
same as	in_subset	translator_minimal
same as	close_mappings	owl:equivalentClass
same as	exact_mappings	owl:sameAs
same as	exact_mappings	skos:exactMatch
same as	exact_mappings	WIKIDATA_PROPERTY:P2888
same as	exact_mappings	CHEMBL.MECHANISM:equivalent_to
same as	exact_mappings	MONDO:equivalentTo
same as	narrow_mappings	DRUGBANK:external-identifier
same as	is_a	exact match
close match	in_subset	translator_minimal
close match	exact_mappings	skos:closeMatch
close match	exact_mappings	SEMMEDDB:same_as
close match	narrow_mappings	CHEBI:is_enantiomer_of
close match	narrow_mappings	CHEBI:is_tautomer_of
close match	narrow_mappings	MEDDRA:classified_as
close match	narrow_mappings	oboInOwl:hasDbXref
